Original Project,,,,,,,,,,,,,,,,,,,,,,
Pixels,Execution Time,,,,,,,,,,,,,,,,,,,,,
10000,0.0039,,,,,,,,,,,,,,,,,,,,,
640000,0.10755,,,,Method,Pixels,Execution Time,,,,,,,,,,,,,,,
2560000,0.28455,,,,Original Project,10000,0.0039,,,,,,,,,,,,,,,
9000000,0.7453,,,,Original Project,640000,0.10755,,,,,,,,,,,,,,,
64000000,3.972,,,,Original Project,2560000,0.28455,,,,,,,,,,,,,,,
,,,,,Original Project,9000000,0.7453,,,,,,,,,,,,,,,
Multithreading,,,,,Original Project,64000000,3.972,,,,,,,,,,,,,,,
Pixels,Execution Time,,,,Multithreading,10000,0.3627,,,,,,,,,,,,,,,
10000,0.3627,,,,Multithreading,640000,3.1934,,,,,,,,,,,,,,,
640000,3.1934,,,,Multithreading,2560000,10.4485,,,,,,,,,,,,,,,
2560000,10.4485,,,,Multithreading,9000000,32.44785,,,,,,,,,,,,,,,
9000000,32.44785,,,,Multithreading,64000000,223.4258,,,,,,,,,,,,,,,
64000000,223.4258,,,,OpenMP,10000,0.0501,,,,,,,,,,,,,,,
,,,,,OpenMP,640000,0.1815,,,,,,,,,,,,,,,
OpenMP,,,,,OpenMP,2560000,0.34975,,,,,,,,,,,,,,,
Pixels,Execution Time,,,,OpenMP,9000000,0.67925,,,,,,,,,,,,,,,
10000,0.0501,,,,OpenMP,64000000,3.1194,,,,,,,,,,,,,,,
640000,0.1815,,,,,,,,,,,,,,,,,,,,,
2560000,0.34975,,,,,,,,,,,,,,,,,,,,,
9000000,0.67925,,,,,,,,,,,,,,,,,,,,,
64000000,3.1194,,,,,,,,,,,,,,,,,,,,,
